;;;;;;
store-deal;;DEAL;交易;取引;거래;
store-module-heading;;Module Vending Machine;模块贩售机;モジュール自動販売機;모듈 자판기;
store-module-introduction;;You happen on a;你发现了一个;あなたは発見しました;우연히 마주친 것은...;
store-noplasma;;not enough plasma;等离子体数量不足;プラズマが足りない;플라즈마 부족;
store-takemodule;;take to buy,$br$drop to sell;拖出以购买，$br$拖进以出售;買うために取る、$br$売るために落とす;가져갈 시 구매,$br$내려놓을 시 판매;
story-chapter-caves;;You got your boots? We’re heading down.$br$It's impulses of grav. charge, that are reflecting off the cave walls in here.$br$Unfortunately, and thanks to that, this environment provides a constant supply of sustenance for any strange creature that has adapted to living off of it.;穿靴子了没？我们要下去了。$br$洞穴墙壁上来回反射的，就是引力脉冲。$br$很不幸，正是这些引力荷为里面的生物提供了源源不断的养料，使它们变成了适应环境的怪物。;靴を履いている？下に行くよ。$br$ここでは洞窟の壁から反射する重力波の脈動がある。$br$残念ながら、それによって、この環境は、それに生活を適応した奇妙な生物に対して、持続的な栄養源を提供している。;장화는 준비했나요? 이제 내려갈 겁니다.$br$여기에서는 중력 전하의 충격이 동굴 벽에 반사되고 있습니다.$br$유감스럽게도, 여기에도 운 좋게 주변 환경에 적응한 채 안정적으로 영양분을 공급받으며 살아가는 생명체들이 존재합니다.;
story-chapter-sewers;;After the initial grav. wave, many survivors set up camp in the sewers, only to discover that also here the time distortions had taken effect.$br$Some sections of concrete had aged a thousand years in a second, becoming brittle and crumbled.$br$Others became creamy like on the day they were poured.;最初的引力波平息之后，许多幸存者来到下水道安营扎寨，却发现这里也受到了时间扭曲的影响。$br$有一些混凝土瞬间经历了千年的风霜，变得脆弱不堪。$br$还有一些则回到最初还未凝固时的样子。;最初の重力波の後、多くの生存者は下水道でキャンプを組んだが、ここでも時間の歪みが生じていることが判明した。$br$コンクリートの一部は1秒で1000年も年月を経たようになり、割れやすくなり崩れた。$br$他のものは、流れた日のようにクリーミーになった。;최초의 중력파 이후 많은 생존자들이 하수구에 야영지를 세웠지만, 결국 시간 왜곡이 하수구에도 영향을 줬다는 사실을 깨닫게 될 뿐이었습니다.$br$콘크리트 중 일부분은 순식간에 천 년의 세월이 지나 깨지고 바스라졌습니다.$br$다른 부분은 콘크리트가 처음 부어졌던 날처럼 걸쭉해졌습니다.;
story-chapter-tutorial;;Our story begins on a day like any other.$br$$slopperjohnson$, our post-apocalyptic parcel carrier, is looking for $b$modules$/b$ to bring back to his camp.;我们的故事从普通的一天开始。$br$$slopperjohnson$，我们的末世送货员，正在寻找能够带回营地的$b$模块$/b$。;私たちの物語は、いつものような日の始まりです。$br$$slopperjohnson$、私たちの後現代的な荷物運搬者は、キャンプに戻るために$b$モジュール$/b$を探しています。;이야기의 시작은 여느 날과 크게 다르지 않았습니다.$br$포스트 아포칼립스 소포 배달부인 우리의 $slopperjohnson$은, 야영지로 가지고 돌아갈 $b$모듈$/b$을 찾고 있었습니다.;
timeline-targeting-minimumdistance-3;;Minimum Distance $b$+3$/b$;最短距离$b$+3$/b$;最小距離 $b$+3$/b$;최소 거리 $b$+3$/b$;
toggled-module-off;;Toggle to activate during voltage sequence;切换至模组运行期间激活;オンに設定されている場合、$br$発射シーケンス中にアクティブになります;전환을 통해 전압 시퀀스 도중 활성화;
toggled-module-on;;Will be activated during voltage sequence;即将在模组运行期间激活;発射シーケンス中にアクティブになります;전압 시퀀스 도중 활성화 예정;
tooltip-removewires;;Remove all wires;移除所有连线;すべてのワイヤーを取り外します;모든 전선 제거;
tooltip-skipturn;;Skip turn;跳过回合;ターンをスキップします;턴 건너뛰기;
tutorial;;Tutorial;教程;チュートリアル;튜토리얼;
tutorial-camp;;Back in camp you can use $plasma$ to heal yourself or restore buildings to discover special modules.;在营地你可以使用$plasma$来治疗自己，或修筑建筑，以发现特殊模块。;キャンプに戻ると、$plasma$を使って自分を回復したり、建物を復元して特別なモジュールを発見できます。;야영지로 돌아가 $plasma$를 사용해 자신을 치유하거나, 건물을 재건해 특별한 모듈을 발견할 수 있습니다.;
tutorial-grav-equilibrium-window-description-1;;Now it's the turn of the $gravequilibrium$.$br$It regularly appears to equalize $grav$ on the battlefield.;现在是$gravequilibrium$的回合。$br$它的出现通常是为了平衡战场上的$grav$。;今度は、$gravequilibrium$ の番です。$br$それは $grav$ を均等化します。;$gravequilibrium$ 턴이 찾아왔네요.$br$이는 주기적으로 발생하며, 전장의 $grav$를 균일하게 만듭니다.;
tutorial-grav-equilibrium-window-description-negative;;$grav-$ on a combatant is completely removed and they receive half of it as $damage$ (rounded up).;参战单位所受的$grav-$效果将被完全移除，但受到原数值一半的$damage$（取邻近的最大整数）。;$grav-$ は完全に削除されます。$br$戦闘参加者は、$damage$ として半分を受け取ります (切り上げ)。;전투원에게 부여된 $grav-$는 완전히 제거되며, 절반에 달하는 $damage$를 입게 됩니다 (올림).;
tutorial-grav-equilibrium-window-heading-negative;;$grav-$$br$causes a $b$Grav.-Spike$/b$;$grav-$$br$造成$b$引力尖刺$/b$。;$grav-$$br$は$b$重力スパイク$/b$を引き起こします;$grav-$는$br$$b$중력 폭주$/b$를 일으킵니다.;
tutorial-grav-equilibrium-window-heading-positive;;$grav+$$br$is halved$/b$ <size=10>(rounded down)</size>;$grav+$$br$效果减半$/b$<size=10>（取邻近的最小整数）</size>;$grav+$$br$は半分になります$/b$ <size=10>(切り捨て)</size>;$grav+$는$br$절반으로 감소합니다$/b$ <size=10>(내림)</size>;
tutorial-grav-equilibrium-window-title;;The Grav. Equilibrium;引力均衡;重力均衡;중력 평형;
tutorial-turn-order-window-description-1;;That $chronocat$ has just applied $grav+2$ to $slopperjohnson$, pushing his turn behind that of the $fox$!;$chronocat$刚刚对$slopperjohnson$施放了$grav+2$，导致他的回合延至$fox$之后！;$chronocat$ が $slopperjohnson$ に $grav+2$ を適用し、$fox$ のターンの後ろに押し出しました！;$chronocat$이가 $slopperjohnson$에게 $grav+2$를 부여해, $slopperjohnson$의 턴을 $fox$ 뒤로 밀어냈습니다!;
tutorial-turn-order-window-title;;Order of Turns;轮次之争;ターンの順番;턴 순서;
tutorialwindow-backpack-description;;Here you can store modules and exchange them between characters.$p$Take the $healingpotion$ into your rack,$br$but you don't have to use it just yet!;在这里，你可以储存或在角色间交换模块。$p$将$healingpotion$放进模架，$br$但你不必立即使用它！;ここでは、モジュールを保管し、キャラクター間で交換することができます。$p$$healingpotion$をラックに入れてくださいが、まだ使用する必要はありません！;여기에 모듈을 보관하고 캐릭터 간에 교환할 수 있습니다. $healingpotion$을 랙으로 가져가세요,$br$지금 사용하지는 않으셔도 됩니다!;
tutorialwindow-backpack-header;;The Backpack;背包;バックパック;배낭;
tutorialwindow-battlerating-description1;;The earlier you end a battle, the better loot you will receive. The rating bar shows how much time you have left per rating.;战斗时长越短，战利品越丰厚。评分栏显示了各评分等级所需的步长。;戦闘を早く終了すればするほど、戦利品は良くなります。評価バーは、残り時間を示しています。;전투를 빨리 끝낼수록, 더 좋은 전리품을 얻게 됩니다. 등급 바에는 전투 등급에 따라 시간이 얼마나 남았는지가 표시됩니다.;
tutorialwindow-battlerating-description2;;Always aim for the best possible rating to receive more durable and valuable modules as loot.;尽可能取得高评分，以获得更耐用、更有价值的战利品模块。;戦利品としてより耐久性の高い、価値のあるモジュールを受け取るために、常に最高の評価を目指してください。;항상 최고의 등급을 목표로 해, 더 튼튼하고 값진 모듈을 전리품으로 획득할 수 있도록 노력하세요.;
tutorialwindow-battlerating-title;;The Battle Rating;战斗评分;戦闘の評価;전투 등급;
tutorialwindow-bossshroom-description;;The strong gravioactivity in these swamps must come from this scary giant mushroom.$br$If we stick to what we have learned, we can defeat it!;这片沼泽的强烈引力活动一定来自这个恐怖的巨型蘑菇！$br$只要按照我们前面所学的做，一定可以打败它！;この沼地の強力な重力活動は、この怖い巨大キノコから来ているのだろう。$br$学んだことを守っていれば、それを倒すことができる！;이 늪지대의 강력한 중력 작용은 분명 이 무시무시한 거대 버섯 때문이겠죠.$br$배운대로만 하면 충분히 물리칠 수 있을 거에요!;
tutorialwindow-chargeaccumulator-description;;Did you see how the $regenerationcell$ healed both heroes, triggering the $curesensor$ twice?$p$It now holds $2$ $energy$.$p$Sensors will lose all $energy$ if not discharged by the end of the turn.$p$Route it into the $b$Accumulator$/b$ where it can be stored.;留意到刚才$regenerationcell$同时治疗了两名角色，并触发了$curesensor$两次吗？$p$现在它存有$2$$energy$。$p$如果这些$energy$本回合未被释放，将尽数消失。$p$将它们导入$b$蓄电池$/b$中储存。;$regenerationcell$が両方のヒーローを癒し、$curesensor$を2回トリガーしたのを見ましたか？$p$それは今、$2$ $energy$を保持しています。$p$センサーはターンの終わりまでに放電されない場合、すべての$energy$を失います。$p$それを格納できる$b$アキュムレータ$/b$にルーティングします。;방금 $regenerationcell$가 두 주인공을 모두 치유하고 $curesensor$를 두 번 활성화하는 걸 보셨나요?$p$이제 $regenerationcell$는 $2$ $energy$를 보유하고 있습니다.$p$감지기는 턴 종료 시 방전시키지 않으면 모든 $energy$를 잃어버리게 됩니다.$p$$energy$를 저장할 수 있는 $b$축압기$/b$로 연결해주세요.;
tutorialwindow-chargeaccumulator-title;;Charge the Accumulator;为蓄电池充能;アキュムレータを充電;축압기 충전하기;
tutorialwindow-chargeregenerationcell-description;;Let's use this turn to prepare an even bigger chain reaction.$p$Charge your $regenerationcell$.$p$On $slopperjohnson$'s next turn, it will heal both heroes, triggering the $curesensor$ twice.;这一回合让我们准备一次更强力的连锁反应。$p$为你的$regenerationcell$充能。$p$在$slopperjohnson$的下一回合，它将同时治疗两名角色，并触发$curesensor$两次。;このターンを使って、さらに大きな連鎖反応を準備しましょう。$p$あなたの$regenerationcell$を充電します。$p$ $slopperjohnson$の次のターンで、それは両方のヒーローを癒し、$curesensor$を2回トリガーします。;이번 턴을 사용해 더 큰 연쇄 반응을 준비해보죠.$p$$regenerationcell$를 충전시키세요.$p$다음 $slopperjohnson$의 턴에 $regenerationcell$가 두 주인공을 모두 치료하며, $curesensor$를 두 번 발동시킬 것입니다.;
tutorialwindow-chargeregenerationcell-header;;Charge the Regeneration Cell;为再生单元充能;再生細胞を充電;재생 전지 충전하기;
tutorialwindow-cooldown-description;;Your $curesensor$ has $overload$,$br$which means that discharging it$br$will set it on $cooldown$.$p$Modules on $cooldown$ cannot be activated for one turn and sensors will not react to triggers.;你的$curesensor$已$overload$，$br$这意味着释能后$br$它将进入$cooldown$。$p$$cooldown$中的模块在一回合内无法被激活，传感型模块无法被触发。;あなたの$curesensor$は$overload$を持っています。$br$これはそれを放電すると$cooldown$に設定されることを意味します。$p$ $cooldown$のモジュールは1ターンの間アクティブにできず、センサーはトリガーに反応しません。;$curesensor$는 $overload$를 보유하고 있으며,$br$이는 한번 방전시킨 뒤에$br$$cooldown$ 상태에 들어가게 된다는 것을 의미합니다.$p$$cooldown$ 상태인 모듈은 한 턴 동안 활성화시킬 수 없게 되며, 감지기는 발동하지 않게 됩니다.;
tutorialwindow-cooldown-header;;Cooldown;冷却;クールダウン;대기 시간;
tutorialwindow-decelerate-description;;$slopperjackson$ can also manipulate the timeline with his $b$Decelerator +1$/b$.;$slopperjackson$同样可以利用$b$减速器+1$/b$来操纵时间轴。;$slopperjackson$ は彼の $b$デセレータ +1$/b$ でタイムラインを操作することもできます。;$slopperjackson$도 $b$감속기 +1$/b$를 이용해 타임라인을 조작할 수 있습니다.;
tutorialwindow-decelerate-description2;;$b$Push the $fox$'s turn$/b$ behind that of $slopperjohnson$ again!$p$This way you can defeat it before it even gets to take its turn.;$b$重新将$fox$的回合$/b$移到$slopperjohnson$之后！$p$这样就可以抢在它再次出战前直接击败它。;$b$再び$fox$のターン$/b$を$slopperjohnson$の後ろに押し出します！$p$このようにして、それがターンを取る前に倒すことができます。;$b$$fox$의 턴$/b$을 다시 한 번 $slopperjohnson$ 뒤로 $b$밀어주세요$/b$!$p$이를 통해 여우의 턴이 찾아오기 전에 여우를 무찌를 수 있게 됩니다.;
tutorialwindow-decelerate-header;;Timeline Control;操控时间轴;タイムライン制御;타임라인 조종하기;
tutorialwindow-dischargeaccumulator-description;;To secure the best $crownicon$$b$Rating$/b$, let's end the combat this turn:$p$Discharge the $b$Accumulator$/b$ for a $2damage$ blast.$p$With the $generator$ you can charge the $regenerationcell$ again to get new sensor triggers next combat.;为了获得最高$crownicon$$b$评分$/b$，让我们在本回合结束战斗：$p$释放$b$蓄电池$/b$的能量以造成$2damage$爆能伤害。$p$使用$generator$可为$regenerationcell$重新充能，以便在下次战斗中重新触发传感器。;最高の$crownicon$$b$評価$/b$を確保するために、今回のターンで戦闘を終了しましょう：$p$$2damage$のショットのために$b$アキュムレータ$/b$を放電します。$p$ $generator$を使用して、次の戦闘で新しいセンサートリガーを取得するために$regenerationcell$を再充電できます。;최고의 $crownicon$$b$등급$/b$을 차지해야 하니, 이번 턴에 전투를 끝내봅시다:$p$$b$축압기$/b$를 방전시켜 $2damage$를 가하세요.$p$$generator$를 통해 $regenerationcell$를 다시 충전해 다음 전투에 감지기를 새로 발동시킬 수도 있습니다.;
tutorialwindow-dischargeaccumulator-title;;Discharge the Accumulator;蓄电池释能;アキュムレータを放電;축압기 방전시키기;
tutorialwindow-energy-description;;Modules run on $energy$ points.$br$Some generate it, some amplify or store it and others turn it into effects.;模块运行需要$energy$。$br$有些模块负责产出，有些负责放大或储存，有些则能将其转化为效果。;モジュールは$energy$で動作します。$br$一部は$energy$を生成し、一部は増幅または保存し、他の一部は効果に変換します。;모듈은 $energy$ 포인트로 작동합니다. 특정 모듈은 $energy$를 생성하고, 증폭시키거나 저장하며, 다른 효과로 전환되기도 합니다.;
tutorialwindow-energy-title;;Energy;能量;エネルギー;에너지;
tutorialwindow-generatordual-description;;$slopperjackson$'s Dual Generator produces $energy$ on $b$both$/b$ output jacks.$br$You can connect both the $b$Decelerator$/b$ and the $b$Blaster$/b$!;$slopperjackson$的双路发生器由两个端口$b$同时$/b$产出$energy$。$br$你可以同时连接$b$减速器$/b$和$b$爆能枪$/b$了！;$slopperjackson$のデュアルジェネレーターは、$両方$/b$の出力ジャックで$energy$を生成します。$br$あなたは$デセレータ$/b$と$ブラスタ$/b$の両方を接続することができます！;$slopperjackson$의 이중 발전기는 두 출력 잭에 모두 $energy$를 생성합니다.$br$$b$감속기$/b$와 $b$블래스터$/b$를 모두 연결할 수 있습니다!;
tutorialwindow-generatordual-header;;The Dual Generator;双路发生器;デュアルジェネレーター;이중 발전기;
tutorialwindow-gravcharge-description-1;;Turns can be moved backward or forward in time by applying $grav+$ or $grav-$ to a combatant.;通过对参战单位施放$grav+$或$grav-$来提前或延后单位的回合。;$grav+$または$grav-$を戦闘参加者に適用することで、ターンを時間軸上で前後に移動することができます。;전투원에게 $grav+$나 $grav-$를 부여함으로써, 전투원의 턴을 시간에 맞춰 앞이나 뒤로 이동시킬 수 있습니다.;
tutorialwindow-gravcharge-heading-negative;;$grav-$ $b$accelerates combatants$/b$$p$<size=8>(pulls them forward on the timeline)</size>;$grav-$$b$加速单位$/b$$p$<size=8>（在时间轴上提前该单位回合）</size>;$grav-$ $b$戦闘参加者を加速します$/b$$p$<size=8>(タイムライン上で前に引き寄せます)</size>;$grav-$ $b$전투원을 가속시킵니다$/b$$p$<size=8>(타임라인에서 앞으로 끌어당깁니다)</size>;
tutorialwindow-gravcharge-heading-positive;;$grav+$ $b$delays combatants$/b$$p$<size=8>(pushes them backward on the timeline)</size>;$grav+$$b$减速单位$/b$$p$<size=8>（在时间轴上延后该单位回合）</size>;$grav+$ $b$戦闘参加者を遅らせます$/b$$p$<size=8>(タイムライン上で後ろに押し出します)</size>;$grav+$ $b$전투원을 지연시킵니다$/b$$p$<size=8>(타임라인에서 뒤로 밀어냅니다)</size>;
tutorialwindow-gravcharge-title;;Grav. Charge;引力脉冲;重力電荷;중력 전하;
tutorialwindow-lootaccumulator-description;;An $b$Accumulator$/b$$br$with a <color=green>$b$green$/b$</color> input!$p$This is extremely useful$br$to store $energy$!;一块带有<color=green>$b$绿色$/b$</color>输入的$br$$b$蓄电池$/b$！$p$这对于储存$energy$$br$非常有用！;$b$アキュムレータ$/b$$br$に<color=green>$b$緑色$/b$</color>の入力があります！$p$これは$energy$を保存するために非常に便利です！;<color=green>$b$초록색$/b</color> 입력이 있는 $b$축압기$/b$군요!$p$$energy$를 저장하는데에$br$아주 큰 도움이 될 겁니다!;
tutorialwindow-lootamplifier-description;;An $b$Amplifier +1$/b$! And it converts from <color=green>$b$green$/b$</color> to <color=#FF5555>$b$red$/b$</color>! This will allow a strong $b$chain reaction$/b$ in the next fight!$p$It is however $cracked$, so it will be $b$destroyed after use$/b$.;获得$b$增幅器+1$/b$！它可以将<color=green>$b$绿色$/b$</color>转为<color=#FF5555>$b$红色$/b$</color>！在下次战斗发起强力的$b$连锁反应$/b$！$p$但该模块已$cracked$破损，将$b$在使用后销毁$/b$。;$b$増幅器 +1$/b$！そして、それは<color=green>$b$緑色$/b$</color>から<color=#FF5555>$b$赤色$/b$</color>に変換します！これにより、次の戦いで強力な$b$連鎖反応$/b$が可能になります！$p$それは$cracked$なので、使用後に$b$破壊$/b$されます。;$b$증폭기 +1$/b$이군요! 증폭기는 <color=green>$b$초록색$/b$</color>을 <color=#FF5555>$b$빨간색$/b$</color>으로 변환합니다! 다음 전투에서 강력한 $b$연쇄 반응$/b$을 일으킬 수 있게 될 겁니다!$p$하지만 $cracked$ 상태의 모듈이기 때문에, $b$쓰고 난 뒤엔 파괴$/b$될 것입니다.;
tutorialwindow-lootfactorypotion-description;;A $b$Potion Factory +1$/b$!$p$Brother, may I use this one?$br$I promise I will also construct healing potions for you!;获得$/b$药剂工厂+1$p$！$b$好兄弟，这个给我可以吗？$br$我保证和你分享制作出来的治疗药剂！;$b$ポーション工場+1$/b$！$p$兄弟、これを使ってもいいですか？$br$あなたのためにも回復薬を作ることを約束します！;$b$물약 공장 +1$/b$이다!$p$형, 이거 내가 써도 될까?$br$형이 쓸 치유 물약도 꼭 만들겠다고 약속할게!;
tutorialwindow-lootplasmaconverter-description;;A $b$Plasma Converter$/b$ with a $b$universal$/b$ input jack! Jackson, we will be rich!$p$Let's put it in the backpack for now. I will let you know when it's a good moment to use.;带有$b$通用$/b$输入端口的$b$等离子转换器$/b$！杰克逊，这回我们发财了！$p$暂时把它收到背包里。等用的时候我会告诉你的。;$b$ユニバーサル$/b$入力ジャックを持つ$プラズマコンバータ$！なんて素晴らしい発見なんでしょう！$p$とりあえずバックパックに入れましょう。使う良い時が来たらお知らせします。;$b$범용$/b$ 입력 잭이 있는 $b$플라즈마 변환기$/b$라니! 잭슨, 우린 이제 부자야!$p$일단 배낭에 넣어두자고. 쓸만한 좋은 타이밍이 오면 가르쳐줄 테니 말이야.;
tutorialwindow-plasma-description;;This time let's convert our excess $energy$ to $plasma$ – the $b$currency$/b$ of this destroyed world.$p$With $plasma$ you can buy modules or revive characters after the fight.;这一次让我们把多余的$energy$转化为$plasma$——当前世界的$b$通用货币$/b$。$p$战斗结束后你可以使用$plasma$购买模块或复活角色。;今回は余分な$energy$を$plasma$に変換しましょう。これはこの破壊された世界の$通貨$/b$です。$p$ $plasma$でモジュールを購入したり、戦闘後にキャラクターを復活させることができます。;이번에는 남는 $energy$를 이 황폐한 세계에서 사용되는 $b$화폐$/b$인 $plasma$로 변환시켜볼 시간입니다.$p$$plasma$를 사용해 모듈을 구매하거나 전투 이후 캐릭터를 부활시킬 수 있습니다.;
tutorialwindow-plasma-header;;Producing Plasma;等离子体产出中;プラズマの生産;플라즈마 생산하기;
tutorialwindow-rack-description;;In Rogue Voltage, you construct machines from $b$modules$/b$ that you wire together.;在《能量游侠》中，你需要连接$b$模块$/b$来构建机器。;Rogue Voltageでは、$b$モジュール$/b$を組み合わせて自分自身のアクションを構築します。;로그 볼티지에서는, 여러 가지 $b$모듈$/b$을 직접 연결해 기계를 조립할 수 있습니다.;
tutorialwindow-rack-title;;The Modular Rack;模架;モジュラーラック;모듈 랙;
tutorialwindow-sensors-description1;;Let's build your first chain reaction:$p$Activate the $healingpotion$ with the $generator$.$p$This triggers the $curesensor$, which will generate $1$ $energy$.$p$Route it through the $amplifier$ for a strong attack.;下面来完成你的第一次连锁反应吧：$p$用$generator$激活$healingpotion$。$p$从而触发$curesensor$，产出$1$$energy$。$p$将其导入$amplifier$完成强力一击。;最初の連鎖反応を構築しましょう：$p$ $generator$で$healingpotion$をアクティブにします。$p$これにより、$curesensor$がトリガーされ、$1$ $energy$が生成されます。$p$それを強力な攻撃のために$amplifier$を通してルーティングします。;첫 번째 연쇄 반응을 일으켜봅시다:$p$$generator$로 $healingpotion$을 활성화합니다.$p$그럼 $curesensor$가 작동하며, $1$ $energy$를 생성합니다.$p$이를 $amplifier$와 연결해, 더 강력한 공격을 가해보세요.;
tutorialwindow-sensors-title;;Chain Reactions;连锁反应;連鎖反応;연쇄 반응;
tutorialwindow-timeline-description;;The timeline shows the succession of the upcoming turns.$p$$b$Now$/b$, it's $slopperjohnson$'s turn.$p$Afterwards, time will tick forward and $b$in 4 time steps$/b$ it'll be the $chronocat$'s turn.$p$Two steps later, it'll be $slopperjackson$'s turn.;时间轴显示了角色出战的轮次。$p$$b$现在$/b$，轮到$slopperjohnson$的回合。$p$随后时间轴向前推进，并在$b$4个时间步长$/b$后轮到$chronocat$。$p$再经过2步，轮到$slopperjackson$。;タイムラインは、次のターンの順番を示しています。$p$$b$今$/b$は$slopperjohnson$の番です。$p$その後、時間は前に進み、$b$4ステップ$/b$後には$chronocat$の番です。$p$2ステップ後には$slopperjackson$の番です。;타임라인에는 다가올 턴이 차례대로 표시됩니다.$p$$b$현재는$/b$, $slopperjohnson$의 턴입니다.$p$이후에는 시간이 흘러가며, $b$4번의 시간 단계가 지나면$/b$ $chronocat$의 턴이 됩니다.$p$두 단계 이후에는 $slopperjackson$의 턴입니다.;
tutorialwindow-timeline-description-2;;"See that highlighted <sprite name=""timestep"" tint=1>$b$Circle$/b$ in 7 steps? That's where $slopperjohnson$'s next turn will be.$p$After that, in 8 steps, it'll be the $fox$'s turn.";"看到7步后高亮的<sprite name=""timestep"" tint=1>$b$圆圈$/b$了吗？那就是$slopperjohnson$下一个回合。$p$之后8步，轮到$fox$。";"7ステップでハイライトされた<sprite name=""timestep"" tint=1>$b$円$/b$を見ましたか？そこが$slopperjohnson$の次のターンです。$p$その後、8ステップ後には$fox$の番です。";"7단계에 강조표시된 <sprite name=""timestep"" tint=1>$b$원$/b$이 보이시나요? 그때가 현재 예정된 $slopperjohnson$의 다음 턴입니다.$p$그 다음에 8단계에는 $fox$의 턴이 되겠네요.";
tutorialwindow-timeline-header;;The Timeline;时间轴;タイムライン;타임라인;
tutorialwindow-wiring-description;;Connect modules by placing wires between $b$input and output jacks of matching colors$/b$.;用线缆连接相同颜色的输入和输出端口$b$即可连接模块$/b$。;$b$同じ色の入力と出力ジャック$/b$の間にケーブルを配置してモジュールを接続します。;$b$동일한 색상의 입력 잭과 출력 잭$/b$ 사이에 전선을 배치해 모듈을 연결하세요.;
tutorialwindow-wiring-title;;Wiring;连接中;配線;전선 연결;
ui-automaticlocalization;only shown with the localizations that have been generated automatically;This localization has been generated automatically.$br$If you want to contribute, join our Discord server:;游戏汉化为自动生成。$br$如果您想贡献一份力量，请加入我们的Discord：;このローカライズは自動生成されました。$br$貢献したい場合は、Discordサーバーに参加してください。;해당 게임은 자동 번역을 사용하고 있습니다.$br$번역에 기여하고 싶으시다면, 디스코드 서버를 방문해주세요:;
ui-backtomenu;;Back to$br$Menu;返回$br$菜单;メニューに戻る;메뉴로$br$돌아가기;
ui-backtoracks;;Back to$br$player racks;返回$br$玩家模架;プレイヤーのラック$br$に戻る;플레이어 랙으로$br$돌아가기;
ui-battleground;;Battleground;战场;バトルグラウンド;전장;
ui-blue;;<color=#7272FF>Blue</color>;<color=#7272FF>蓝色</color>;<color=#7272FF>青</color>;<color=#7272FF>파란색</color>;
ui-cancel;;Cancel;取消;キャンセル;취소;
ui-continue;;Continue Run;继续游戏;冒険を続ける;모험 계속하기;
ui-continue-from-camp;;Continue$br$Adventure;继续$br$冒险;冒険を続ける;모험$br$계속하기;
ui-credits;;Credits;制作团队;クレジット;크레딧;
ui-credits-gameby;;A game by;出品方;ゲーム作者;게임 제작;
ui-discussion;;Join the Campfire:;加入我们：;キャンプファイヤーに参加する;캠프파이어에 참여하기:;
ui-error;;ERROR;错误;エラー;에러;
ui-feedback-email;;E-Mail Address (Optional);邮件（选填）;メールアドレス（任意）;이메일 주소 (선택사항);
ui-feedback-email-placeholder;;Enter your email address (optional);输入您的邮件（选填）;メールアドレスを入力してください（任意）;이메일 주소를 입력하세요 (선택사항);
ui-feedback-instructions;;When reporting a bug please include this information:$p$1.) Description of the bug$p$2.) What you did to get the bug? (a step-by-step is best)$p$3.) What you think should have happened instead?;报告错误时，请包含一下信息：$p$1.错误描述$p$2.您是如何发现该错误的的？（请尽可能详细地描述）$p$3.您认为正确的结果是？;バグを報告する際は、次の情報を含めてください：$p$1.) バグの説明$p$2.) バグを取得するために何をしましたか？（ステップバイステップが最適です）$p$3.) 代わりに何が起こるべきだと思いますか？;버그를 제보하실 때는 다음과 같은 정보를 포함해주세요:$p$1.) 버그에 관한 설명$p$2.) 어떤 상황에 버그가 발생했나요? (단계별로 설명해주시면 좋습니다)$p$3.) 원래는 그 대신 어떤 일이 발생했어야 했나요?;
ui-feedback-placeholder;;Enter a description of the issue or your feedback...;输入问题描述或您的反馈……;問題の説明またはフィードバックを入力してください...;문제에 관한 설명 또는 피드백을 입력...;
ui-feedback-status-failed;;Report submission failed.;提交失败。;レポートの送信に失敗しました。;제보 전송에 실패했습니다.;
ui-feedback-status-submitting;;Submitting report...;提交中……;レポートを送信中...;제보 전송 중...;
ui-feedback-status-successful;;Report submitted successfully!;提交成功！;レポートが正常に送信されました！;제보가 성공적으로 전송됐습니다!;
ui-green;;<color=green>Green</color>;<color=green>绿色</color>;<color=green>緑</color>;<color=green>초록색</color>;
ui-heal1;;Heal 1;治疗 1;回復1;1 치유;
ui-input-controls;;Controls;控制;コントロール;제어;
ui-leave;;Leave;离开;離れる;떠나기;
ui-loot;;Loot;战利品;分捕り品;전리품;
ui-loot-continue;;Continue;继续;続行;계속하기;
ui-loot-continue-timed;;Continue ($TIMER$);继续（$TIMER$）;続行 ($TIMER$);계속하기 ($TIMER$);
ui-loot-hint-multiple;;Choose one module as your reward;选择一个模块作为奖励;報酬として1つのモジュールを選択します;보상으로 받을 모듈을 선택하세요.;
ui-loot-hint-single;;Select the loot module to take it into your rack;选择战利品模块并收入模架;戦利品モジュールを選択してラックに入れます;전리품 모듈을 선택해 랙에 집어넣으세요.;
ui-loot-reroll;;Reroll$br$(-$REROLLCOST$ $plasmaicon$);重骰$br$（-$REROLLCOST$$plasmaicon$）;再ロール$br$(-$REROLLCOST$ $plasmaicon$);새로고침$br$(-$REROLLCOST$ $plasmaicon$);
ui-loot-revive;;Revive$br$(-$REVIVECOST$ $plasmaicon$);复活$br$（-$REVIVECOST$$plasmaicon$）;蘇生$br$(-$REVIVECOST$ $plasmaicon$);부활$br$(-$REVIVECOST$ $plasmaicon$);
ui-loot-selection-finished;;Reward collected;领取奖励;報酬を収集しました;보상 수령함;
ui-loot-skip;;Skip$br$(+$SKIPBONUS$ $plasmaicon$);跳过$br$（-$SKIPBONUS$$plasmaicon$）;スキップ$br$(+$SKIPBONUS$ $plasmaicon$);건너뛰기$br$(+$SKIPBONUS$ $plasmaicon$);
ui-new;;NEW;新;新しい;신규;
ui-newgame;;New Run;新游戏;新しい冒険;새로운 모험;
ui-now;;now;现在;今;현재;
ui-plasma;;Plasma;等离子体;プラズマ;플라즈마;
ui-quit;;Quit;退出;終了;나가기;
